marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,1,938,188,456,511,560
0,2,853,188,506,487,579
0,3,938,195,482,526,587
0,1,939,187,456,508,558
0,2,854,184,507,485,579
0,3,936,197,490,525,588
0,1,938,193,453,508,552
0,2,854,188,502,490,576
0,3,934,197,490,527,584
0,1,938,190,454,508,550
0,2,853,187,502,485,581
0,3,932,189,484,527,586
0,1,941,190,456,508,548
0,2,855,188,504,490,580
0,3,934,193,482,525,585
0,1,940,189,455,509,556
0,2,856,187,507,492,579
0,3,935,191,481,530,583
0,1,942,187,459,511,561
0,2,855,184,507,489,578
0,3,937,191,479,530,587
0,1,942,191,460,507,558
0,2,854,185,503,491,578
0,3,940,194,484,529,584
0,1,943,189,451,509,552
0,2,855,183,507,486,582
0,3,938,196,486,528,584
0,1,941,190,455,505,559
0,2,854,184,507,484,583
0,3,937,189,481,525,582
0,1,935,188,462,507,549
0,2,850,186,505,485,582
0,3,933,192,478,526,587
0,1,937,189,452,508,557
0,2,855,189,502,485,583
0,3,938,192,481,527,584
0,1,941,187,456,506,554
0,2,853,184,505,487,582
0,3,938,195,481,526,582
0,1,938,190,451,505,561
0,2,854,182,505,484,580
0,3,938,189,484,525,588
0,1,939,187,457,511,555
0,2,859,183,503,490,574
0,3,940,190,485,525,582
0,1,939,189,454,506,565
0,2,858,188,500,487,582
0,3,940,195,484,528,585
0,1,939,192,452,514,551
0,2,856,187,506,485,583
0,3,940,194,485,528,591
0,1,946,192,455,508,562
0,2,858,186,509,483,580
0,3,937,194,481,527,585
0,1,936,191,452,507,554
0,2,855,187,510,484,584
0,3,938,198,484,527,584
0,1,938,192,452,508,555
0,2,857,189,507,484,575
0,3,937,196,487,525,584
0,1,942,197,455,512,552
0,2,890,187,505,487,581
0,3,936,200,480,526,591
0,1,939,190,459,505,546
0,2,909,182,502,487,581
0,3,938,200,486,530,591
0,1,939,184,453,510,547
0,2,895,187,504,489,577
0,3,941,193,478,525,589
0,1,936,187,454,511,552
0,2,864,187,508,485,579
0,3,936,197,483,524,586
0,1,937,190,465,508,559
0,2,857,184,503,487,578
0,3,937,191,486,524,586
0,1,940,182,454,510,552
0,2,861,178,506,488,574
0,3,932,194,495,528,592
0,1,935,189,452,510,554
0,2,858,179,504,484,577
0,3,930,202,500,526,588
0,1,939,186,455,514,558
0,2,861,178,501,489,582
0,3,931,197,499,526,588
0,1,936,188,452,509,550
0,2,898,188,498,484,576
0,3,932,187,501,531,584
0,1,939,185,462,507,560
0,2,885,188,497,486,581
0,3,928,184,499,529,585
0,1,940,180,457,508,564
0,2,866,187,497,487,580
0,3,932,184,490,527,588
0,1,938,185,455,510,554
0,2,857,185,501,486,576
0,3,939,196,483,529,592
0,1,939,459,509,560,
0,2,848,500,484,582,
0,3,931,478,530,584,
0,1,941,181,457,511,555
0,2,851,187,498,488,581
0,3,927,197,487,524,587
0,1,941,181,449,510,560
0,2,863,181,501,487,578
0,3,928,212,490,527,586
0,1,941,188,456,508,555
0,2,853,181,509,486,571
0,3,934,241,491,526,585
0,1,935,185,454,512,554
0,2,855,181,503,488,568
0,3,934,217,493,522,590
0,1,931,186,455,518,558
0,2,865,181,506,484,576
0,3,934,200,495,529,588
0,1,934,461,512,552,
0,2,891,510,484,579,
0,3,942,495,530,587,
0,1,942,185,456,509,552
0,2,869,181,508,484,575
0,3,949,207,490,520,589
0,1,939,181,461,517,554
0,2,926,180,509,486,578
0,3,939,202,486,523,587
0,1,937,183,460,507,553
0,2,940,185,516,490,572
0,3,935,197,489,526,591
0,1,935,186,457,515,551
0,2,948,184,520,488,574
0,3,945,198,489,526,593
0,1,932,186,454,511,562
0,2,945,181,521,485,579
0,3,938,200,484,529,588
0,1,938,191,455,508,549
0,2,946,178,521,486,575
0,3,940,200,534,524,585
0,1,945,188,456,514,554
0,2,946,181,527,485,576
0,3,947,196,520,527,587
0,1,945,189,460,516,558
0,2,946,180,523,488,573
0,3,944,197,505,526,592
0,1,900,186,462,509,550
0,2,940,181,520,485,571
0,3,945,196,491,524,594
0,1,944,189,464,507,562
0,2,938,185,519,483,575
0,3,943,192,491,528,591
0,1,945,196,459,508,555
0,2,936,187,524,484,577
0,3,942,194,502,528,584
0,1,942,198,462,512,556
0,2,940,186,527,489,577
0,3,939,190,518,526,592
0,1,931,194,462,507,568
0,2,950,186,524,486,576
0,3,936,194,541,527,588
0,1,933,185,462,506,552
0,2,933,182,523,490,574
0,3,935,199,545,525,590
0,1,939,183,463,504,561
0,2,942,182,523,484,578
