,position,anchor_1,anchor_2,anchor_3,anchor_4,anchor_5,tag
663,1,920.0,188.0,480.0,527.0,637.0,1
664,1,920.0,185.0,459.0,519.0,574.0,2
665,1,937.0,186.0,488.0,502.0,575.0,3
666,1,921.0,187.0,485.0,534.0,636.0,1
667,1,917.0,187.0,460.0,527.0,579.0,2
668,1,939.0,190.0,489.0,499.0,577.0,3
669,1,923.0,189.0,475.0,532.0,637.0,1
670,1,921.0,187.0,458.0,527.0,576.0,2
671,1,941.0,189.0,488.0,504.0,575.0,3
672,1,921.0,194.0,478.0,524.0,637.0,1
673,1,923.0,188.0,460.0,528.0,577.0,2
674,1,937.0,188.0,489.0,500.0,575.0,3
675,1,921.0,189.0,483.0,526.0,640.0,1
676,1,919.0,188.0,458.0,520.0,581.0,2
677,1,937.0,188.0,491.0,502.0,573.0,3
678,1,919.0,191.0,479.0,523.0,635.0,1
679,1,921.0,188.0,458.0,526.0,576.0,2
680,1,940.0,191.0,491.0,504.0,571.0,3
681,1,921.0,192.0,484.0,528.0,640.0,1
682,1,924.0,187.0,458.0,525.0,581.0,2
683,1,939.0,188.0,490.0,499.0,574.0,3
684,1,922.0,190.0,485.0,526.0,640.0,1
685,1,916.0,186.0,458.0,528.0,580.0,2
686,1,935.0,191.0,488.0,501.0,575.0,3
687,1,920.0,194.0,484.0,542.0,635.0,1
688,1,921.0,185.0,458.0,521.0,576.0,2
689,1,936.0,190.0,491.0,498.0,575.0,3
690,1,921.0,192.0,477.0,527.0,637.0,1
691,1,923.0,185.0,457.0,522.0,579.0,2
692,1,937.0,186.0,486.0,501.0,577.0,3
693,1,920.0,193.0,472.0,524.0,637.0,1
694,1,918.0,186.0,458.0,527.0,578.0,2
695,1,939.0,185.0,489.0,504.0,573.0,3
696,1,919.0,190.0,477.0,528.0,636.0,1
697,1,924.0,186.0,457.0,524.0,581.0,2
698,1,937.0,189.0,490.0,502.0,577.0,3
699,1,918.0,190.0,476.0,523.0,641.0,1
700,1,923.0,186.0,458.0,521.0,578.0,2
701,1,936.0,185.0,490.0,505.0,575.0,3
702,1,922.0,193.0,478.0,529.0,638.0,1
703,1,918.0,184.0,461.0,524.0,581.0,2
704,1,936.0,186.0,489.0,501.0,576.0,3
705,1,922.0,192.0,466.0,526.0,633.0,1
706,1,920.0,189.0,460.0,528.0,578.0,2
707,1,935.0,186.0,489.0,501.0,577.0,3
708,1,919.0,191.0,477.0,530.0,638.0,1
709,1,921.0,189.0,458.0,524.0,577.0,2
710,1,936.0,187.0,492.0,501.0,574.0,3
711,1,922.0,194.0,478.0,525.0,638.0,1
712,1,917.0,187.0,458.0,522.0,582.0,2
713,1,937.0,188.0,491.0,500.0,576.0,3
714,1,924.0,195.0,475.0,525.0,641.0,1
715,1,923.0,186.0,459.0,521.0,580.0,2
716,1,939.0,192.0,491.0,503.0,578.0,3
717,1,923.0,194.0,482.0,524.0,638.0,1
718,1,920.0,184.0,458.0,527.0,578.0,2
719,1,935.0,189.0,492.0,501.0,575.0,3
720,1,921.0,193.0,472.0,525.0,642.0,1
721,1,921.0,185.0,458.0,521.0,580.0,2
722,1,936.0,185.0,490.0,500.0,580.0,3
723,1,919.0,193.0,472.0,528.0,646.0,1
724,1,922.0,186.0,459.0,521.0,580.0,2
725,1,936.0,187.0,491.0,505.0,580.0,3
726,1,923.0,190.0,474.0,527.0,639.0,1
727,1,918.0,186.0,460.0,523.0,577.0,2
728,1,937.0,186.0,492.0,501.0,575.0,3
729,1,921.0,186.0,475.0,528.0,636.0,1
730,1,922.0,184.0,459.0,525.0,579.0,2
731,1,937.0,185.0,493.0,504.0,573.0,3
732,1,920.0,189.0,481.0,528.0,642.0,1
733,1,922.0,187.0,460.0,523.0,580.0,2
734,1,938.0,188.0,491.0,502.0,572.0,3
735,1,920.0,190.0,482.0,524.0,640.0,1
736,1,919.0,186.0,461.0,522.0,582.0,2
737,1,936.0,189.0,490.0,498.0,577.0,3
738,1,919.0,191.0,478.0,526.0,636.0,1
739,1,923.0,184.0,459.0,524.0,579.0,2
740,1,936.0,187.0,489.0,504.0,579.0,3
